samID	isEAE	isCD1
SRR7102862	0	1
SRR7102863	0	1
SRR7102864	0	1
SRR7102865	0	1
SRR7102866	0	1
SRR7102867	0	1
SRR7102868	0	1
SRR7102869	0	1
SRR7102870	0	1
SRR7102871	0	1
SRR7102872	0	1
SRR7102873	0	1
SRR7102874	0	1
SRR7102875	0	1
SRR7102876	0	1
SRR7102877	0	1
SRR7102878	0	1
SRR7102879	0	1
SRR7102880	0	1
SRR7102881	0	1
SRR7102882	0	1
SRR7102883	0	1
SRR7102884	0	1
SRR7102885	0	1
SRR7102886	0	1
SRR7102887	0	1
SRR7102888	0	1
SRR7102889	0	1
SRR7102890	0	1
SRR7102891	0	1
SRR7102892	0	1
SRR7102893	0	1
SRR7102894	0	1
SRR7102895	0	1
SRR7102896	0	1
SRR7102897	0	1
SRR7102898	0	1
SRR7102899	0	1
SRR7102900	0	1
SRR7102901	0	1
SRR7102902	0	1
SRR7102903	0	1
SRR7102904	0	1
SRR7102905	0	1
SRR7102906	0	1
SRR7102907	0	1
SRR7102908	0	1
SRR7102909	0	1
SRR7102910	0	1
SRR7102911	0	1
SRR7102912	0	1
SRR7102913	0	1
SRR7102914	0	1
SRR7102915	0	1
SRR7102916	0	1
SRR7102917	0	1
SRR7102918	0	1
SRR7102919	0	1
SRR7102920	0	1
SRR7102921	0	1
SRR7102922	0	1
SRR7102923	0	1
SRR7102924	0	1
SRR7102925	0	1
SRR7102926	0	1
SRR7102927	0	1
SRR7102928	0	1
SRR7102929	0	1
SRR7102930	0	1
SRR7102931	0	1
SRR7102932	0	1
SRR7102933	0	1
SRR7102934	0	1
SRR7102935	0	1
SRR7102936	0	1
SRR7102937	0	1
SRR7102938	0	1
SRR7102939	0	1
SRR7102940	0	1
SRR7102941	0	1
SRR7102942	0	1
SRR7102943	0	1
SRR7102944	0	1
SRR7102945	0	1
SRR7102946	0	1
SRR7102947	0	1
SRR7102948	0	1
SRR7102949	0	1
SRR7102950	0	1
SRR7102951	0	1
SRR7102952	0	1
SRR7102953	0	1
SRR7102954	0	1
SRR7102955	0	1
SRR7102956	0	1
SRR7102957	0	1
SRR7102958	0	1
SRR7102959	0	1
SRR7102960	0	1
SRR7102961	0	1
SRR7102962	0	1
SRR7102963	0	1
SRR7102964	0	1
SRR7102965	0	1
SRR7102966	0	1
SRR7102967	0	1
SRR7102968	0	1
SRR7102969	0	1
SRR7102970	0	1
SRR7102971	0	1
SRR7102972	0	1
SRR7102973	0	1
SRR7102974	0	1
SRR7102975	0	1
SRR7102976	0	1
SRR7102977	0	1
SRR7102978	0	1
SRR7102979	0	1
SRR7102980	0	1
SRR7102981	0	1
SRR7102982	0	1
SRR7102983	0	1
SRR7102984	0	1
SRR7102985	0	1
SRR7102986	0	1
SRR7102987	0	1
SRR7102988	0	1
SRR7102989	0	1
SRR7102990	0	1
SRR7102991	0	1
SRR7102992	0	1
SRR7102993	0	1
SRR7102994	0	1
SRR7102995	0	1
SRR7102996	0	1
SRR7102997	0	1
SRR7102998	0	1
SRR7102999	0	1
SRR7103000	0	1
SRR7103001	0	1
SRR7103002	0	1
SRR7103003	0	1
SRR7103004	0	1
SRR7103005	0	1
SRR7103006	0	1
SRR7103007	0	1
SRR7103008	0	1
SRR7103009	0	1
SRR7103010	0	1
SRR7103011	0	1
SRR7103012	0	1
SRR7103013	0	1
SRR7103014	0	1
SRR7103015	0	1
SRR7103016	0	1
SRR7103017	0	1
SRR7103018	0	1
SRR7103019	0	1
SRR7103020	0	1
SRR7103021	0	1
SRR7103022	0	1
SRR7103023	0	1
SRR7103024	0	1
SRR7103025	0	1
SRR7103026	0	1
SRR7103027	0	1
SRR7103028	0	1
SRR7103029	0	1
SRR7103030	0	1
SRR7103031	0	1
SRR7103032	0	1
SRR7103033	0	1
SRR7103034	0	1
SRR7103035	0	1
SRR7103036	0	1
SRR7103037	0	1
SRR7103038	0	1
SRR7103039	0	1
SRR7103040	0	1
SRR7103041	0	1
SRR7103042	0	1
SRR7103043	0	1
SRR7103044	0	1
SRR7103045	0	1
SRR7103046	0	1
SRR7103047	0	1
SRR7103048	0	1
SRR7103049	0	1
SRR7103050	0	1
SRR7103051	0	1
SRR7103052	0	1
SRR7103053	0	1
SRR7103054	0	1
SRR7103055	0	1
SRR7103056	0	1
SRR7103057	0	1
SRR7103058	0	1
SRR7103059	0	1
SRR7103060	0	1
SRR7103061	0	1
SRR7103062	0	1
SRR7103063	0	1
SRR7103064	0	1
SRR7103065	0	1
SRR7103066	0	1
SRR7103067	0	1
SRR7103068	0	1
SRR7103069	0	1
SRR7103070	0	1
SRR7103071	0	1
SRR7103072	0	1
SRR7103073	0	1
SRR7103074	0	1
SRR7103075	0	1
SRR7103076	0	1
SRR7103077	0	1
SRR7103078	0	1
SRR7103079	0	1
SRR7103080	0	1
SRR7103081	0	1
SRR7103082	0	1
SRR7103083	0	1
SRR7103084	0	1
SRR7103085	0	1
SRR7103086	0	1
SRR7103087	0	1
SRR7103088	0	1
SRR7103089	0	1
SRR7103090	0	1
SRR7103091	0	1
SRR7103092	0	1
SRR7103093	0	1
SRR7103094	0	1
SRR7103095	0	1
SRR7103096	0	1
SRR7103097	0	1
SRR7103098	0	1
SRR7103099	0	1
SRR7103100	0	1
SRR7103101	0	1
SRR7103102	0	1
SRR7103103	0	1
SRR7103104	0	1
SRR7103105	0	1
SRR7103106	0	1
SRR7103107	0	1
SRR7103108	0	1
SRR7103109	0	1
SRR7103110	0	1
SRR7103111	0	1
SRR7103112	0	1
SRR7103113	0	1
SRR7103114	0	1
SRR7103115	0	1
SRR7103116	0	1
SRR7103117	0	1
SRR7103118	0	1
SRR7103119	0	1
SRR7103120	0	1
SRR7103121	0	1
SRR7103122	0	1
SRR7103123	0	1
SRR7103124	0	1
SRR7103125	0	1
SRR7103126	0	1
SRR7103127	0	1
SRR7103128	0	1
SRR7103129	0	1
SRR7103130	0	1
SRR7103131	0	1
SRR7103132	0	1
SRR7103133	0	1
SRR7103134	0	1
SRR7103135	0	1
SRR7103136	0	1
SRR7103137	0	1
SRR7103138	0	1
SRR7103139	0	1
SRR7103140	0	1
SRR7103141	0	1
SRR7103142	0	1
SRR7103143	0	1
SRR7103144	0	1
SRR7103145	0	1
SRR7103146	0	1
SRR7103147	0	1
SRR7103148	0	1
SRR7103149	0	1
SRR7103150	0	1
SRR7103151	0	1
SRR7103152	0	1
SRR7103153	0	1
SRR7103154	0	1
SRR7103155	0	1
SRR7103156	0	1
SRR7103157	0	1
SRR7103158	0	1
SRR7103159	0	1
SRR7103160	0	1
SRR7103161	0	1
SRR7103162	0	1
SRR7103163	0	1
SRR7103164	0	1
SRR7103165	0	1
SRR7103166	0	1
SRR7103167	0	1
SRR7103168	0	1
SRR7103169	0	1
SRR7103170	0	1
SRR7103171	0	1
SRR7103172	0	1
SRR7103173	0	1
SRR7103174	0	1
SRR7103175	0	1
SRR7103176	0	1
SRR7103177	0	1
SRR7103178	0	1
SRR7103179	0	1
SRR7103180	0	1
SRR7103181	0	1
SRR7103182	0	1
SRR7103183	0	1
SRR7103184	0	1
SRR7103185	0	1
SRR7103186	0	1
SRR7103187	0	1
SRR7103188	0	1
SRR7103189	0	1
SRR7103190	0	1
SRR7103191	0	1
SRR7103192	0	1
SRR7103193	0	1
SRR7103194	0	1
SRR7103195	0	1
SRR7103196	0	1
SRR7103197	0	1
SRR7103198	0	1
SRR7103199	0	1
SRR7103200	0	1
SRR7103201	0	1
SRR7103202	0	1
SRR7103203	0	1
SRR7103204	0	1
SRR7103205	0	1
SRR7103206	0	1
SRR7103207	0	1
SRR7103208	0	1
SRR7103209	0	1
SRR7103210	0	1
SRR7103211	0	1
SRR7103212	0	1
SRR7103213	0	1
SRR7103214	0	1
SRR7103215	0	1
SRR7103216	0	1
SRR7103217	0	1
SRR7103218	0	1
SRR7103219	0	1
SRR7103220	0	1
SRR7103221	0	1
SRR7103222	0	1
SRR7103223	0	1
SRR7103224	0	1
SRR7103225	0	1
SRR7103226	0	1
SRR7103227	0	1
SRR7103228	0	1
SRR7103229	0	1
SRR7103230	0	1
SRR7103231	0	1
SRR7103232	0	1
SRR7103233	0	1
SRR7103234	0	1
SRR7103235	0	1
SRR7103236	0	1
SRR7103237	0	1
SRR7103238	0	1
SRR7103239	0	1
SRR7103240	0	1
SRR7103241	0	1
SRR7103242	0	1
SRR7103243	0	1
SRR7103244	0	1
SRR7103245	0	1
SRR7103246	0	1
SRR7103247	0	1
SRR7103248	0	1
SRR7103249	0	1
SRR7103250	0	1
SRR7103251	0	1
SRR7103252	0	1
SRR7103253	0	1
SRR7103254	0	1
SRR7103255	0	1
SRR7103256	0	1
SRR7103257	0	1
SRR7103258	0	1
SRR7103259	0	1
SRR7103260	0	1
SRR7103261	0	1
SRR7103262	0	1
SRR7103263	0	1
SRR7103264	0	1
SRR7103265	0	1
SRR7103266	0	1
SRR7103267	0	1
SRR7103268	0	1
SRR7103269	0	1
SRR7103270	0	1
SRR7103271	0	1
SRR7103272	0	1
SRR7103273	0	1
SRR7103274	0	1
SRR7103275	0	1
SRR7103276	0	1
