GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	isEAE_ceoff	isEAE_ELBO_gain	isEAE_pval	isEAE_FDR
ENSMUSG00000040687.AS3	693	252	5.254e-02	7.459e+00	2.430e+00	-4.782e+00	4.585e+00	2.461e-03	1.780e-02
ENSMUSG00000029178	3657	210	1.486e-01	-6.090e+00	3.664e+00	-4.966e-02	-1.748e-01	1.000e+00	1.000e+00
ENSMUSG00000038412	12345	482	5.054e-01	-6.617e+00	4.113e+00	7.796e-01	6.494e-01	2.544e-01	4.877e-01
ENSMUSG00000029920	1062	63	7.337e-02	-5.199e+00	3.341e+00	-1.228e-01	1.660e-02	8.554e-01	1.000e+00
ENSMUSG00000030522.AS2	2687	597	1.617e-01	1.186e+00	2.683e+00	3.006e+00	5.869e+00	6.121e-04	7.039e-03
ENSMUSG00000032126	2733	1494	1.526e-01	4.134e+00	2.876e-01	2.860e-01	7.739e-02	6.940e-01	9.976e-01
ENSMUSG00000030452	3139	765	1.182e-01	4.872e+00	2.783e-01	-2.145e-02	2.454e-02	8.247e-01	1.000e+00
ENSMUSG00000026939	5689	2879	1.789e-01	4.530e+00	3.962e-01	6.498e-01	4.275e-01	3.551e-01	6.535e-01
ENSMUSG00000031352	11881	4494	2.337e-01	5.451e+00	1.888e+00	-2.327e-01	-1.748e-01	1.000e+00	1.000e+00
ENSMUSG00000027381	842	312	5.616e-02	5.276e+00	2.195e+00	1.479e+00	-1.867e-01	1.000e+00	1.000e+00
ENSMUSG00000053730	561	76	4.031e-02	-1.611e+00	4.645e+00	-3.442e+00	2.083e+00	4.122e-02	2.370e-01
ENSMUSG00000032567	1266	153	3.850e-02	-5.262e-02	5.098e+00	2.870e-01	-1.077e+00	1.000e+00	1.000e+00
ENSMUSG00000026103	1503	608	6.703e-02	3.660e+00	3.025e+00	2.048e+00	9.489e-01	1.683e-01	4.755e-01
ENSMUSG00000035314	782	127	8.379e-02	-6.073e+00	4.419e+00	9.097e-01	3.382e-01	4.109e-01	7.730e-01
ENSMUSG00000038827	1770	237	7.065e-02	-5.176e+00	3.282e+00	-1.754e-01	-2.331e-01	1.000e+00	1.000e+00
ENSMUSG00000030850	6142	3067	3.505e-01	8.219e-01	6.136e+00	6.445e-01	2.283e+00	3.260e-02	2.143e-01
ENSMUSG00000036555	563	274	3.759e-02	4.568e+00	1.213e+00	-1.830e+00	7.418e-01	2.232e-01	5.404e-01
ENSMUSG00000021991	979	121	4.031e-02	-8.890e+00	3.901e+00	1.547e-01	-1.515e-01	1.000e+00	1.000e+00
ENSMUSG00000016833.AS2	9621	2389	3.632e-01	4.592e+00	1.263e+00	-1.964e-01	3.091e-01	4.317e-01	7.730e-01
ENSMUSG00000055717	35585	2479	4.851e-01	-8.515e+00	2.903e+00	2.126e-01	-9.893e-01	1.000e+00	1.000e+00
ENSMUSG00000039201	602	223	2.899e-02	3.950e+00	1.981e+00	1.335e-01	-9.811e-02	1.000e+00	1.000e+00
ENSMUSG00000026080.AS2	651	118	4.574e-02	-6.984e+00	2.720e+00	-6.564e-01	-1.319e-01	1.000e+00	1.000e+00
ENSMUSG00000022822	5974	235	1.993e-01	-7.106e+00	2.640e+00	-3.177e-01	2.806e-01	4.537e-01	7.730e-01
ENSMUSG00000045251	9580	548	1.504e-01	-3.530e+00	5.180e+00	1.414e+00	8.340e-01	1.965e-01	5.022e-01
ENSMUSG00000032688.AS2	1302	220	4.891e-02	3.415e+00	3.532e+00	-7.988e-01	-2.905e-02	1.000e+00	1.000e+00
ENSMUSG00000021451	14922	1215	4.330e-01	-3.602e+00	2.648e+00	1.253e+00	8.068e+00	5.893e-05	1.355e-03
ENSMUSG00000032295.AS2	3100	836	2.052e-01	2.082e+00	2.504e+00	4.853e-02	-9.619e-02	1.000e+00	1.000e+00
ENSMUSG00000032366.AS3	10549	2480	3.759e-01	-2.526e+00	5.997e+00	1.209e-01	1.084e+00	1.408e-01	4.627e-01
ENSMUSG00000015829	4035	1119	8.786e-02	4.691e-01	2.672e+00	1.141e+00	1.788e+00	5.865e-02	2.998e-01
ENSMUSG00000117679	4032	1690	1.372e-01	6.708e+00	2.070e+00	-1.553e+00	1.327e+00	1.032e-01	3.957e-01
ENSMUSG00000027165.AS2	35726	13920	4.239e-01	6.574e+00	2.717e+00	2.463e-01	-3.984e-01	1.000e+00	1.000e+00
ENSMUSG00000090115	4071	467	9.466e-02	2.957e-01	2.352e+00	1.247e+00	1.506e+00	8.263e-02	3.782e-01
ENSMUSG00000019878	1597	240	7.790e-02	-6.367e+00	5.506e+00	2.690e+00	1.433e+00	9.045e-02	3.782e-01
ENSMUSG00000028268	5602	1807	1.196e-01	-3.149e-01	2.923e+00	2.593e+00	9.514e-01	1.678e-01	4.755e-01
ENSMUSG00000032525.AS2	3404	2040	1.585e-01	4.557e+00	4.305e+00	-1.600e+00	2.886e-01	4.474e-01	7.730e-01
ENSMUSG00000096056	5604	346	1.594e-01	-6.105e+00	2.695e+00	-1.628e-01	1.541e-01	5.788e-01	9.510e-01
ENSMUSG00000040462	20616	4910	5.190e-01	-1.198e+00	3.888e+00	-2.249e-01	5.283e-01	3.040e-01	6.659e-01
ENSMUSG00000019790	429	55	3.306e-02	3.137e+00	6.670e-01	-3.831e-01	1.141e-02	8.799e-01	1.000e+00
ENSMUSG00000041920	1794	690	5.072e-02	7.801e+00	2.045e+00	-9.294e-01	-7.910e-02	1.000e+00	1.000e+00
ENSMUSG00000017288	4248	1915	1.486e-01	4.238e+00	4.478e-01	8.135e-01	5.029e-02	7.511e-01	1.000e+00
ENSMUSG00000094732.AS2	2403	369	7.473e-02	-1.132e+00	6.052e+00	-9.071e-01	1.062e-02	8.841e-01	1.000e+00
