GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Atp11a	1088	1088	2.078e-01	1.569e+00	1.035e+00	-3.128e-03	9.565e-01	1.666e-01	5.195e-01
Phlpp1	877	877	1.438e-01	3.175e-01	1.172e+00	2.326e-03	7.200e-01	2.301e-01	6.244e-01
Mrpl10	469	469	1.256e-01	2.925e+00	5.661e-01	2.394e-03	2.567e-01	4.737e-01	8.902e-01
Fbxo45	1609	1609	3.659e-01	3.369e+00	4.285e-01	4.859e-03	2.377e-01	4.905e-01	9.166e-01
Vegfa	1930	1930	3.904e-01	3.596e+00	3.933e-01	6.172e-03	4.388e-01	3.489e-01	7.606e-01
Amer1	550	550	1.363e-01	3.402e+00	1.009e+00	-6.646e-03	9.849e-01	1.605e-01	5.195e-01
Nkap	474	474	1.129e-01	2.896e+00	9.706e-01	-1.383e-02	3.273e+00	1.051e-02	1.186e-01
Cdc37l1	536	536	7.795e-02	1.278e-01	1.577e+00	-1.128e-03	-1.327e+00	1.000e+00	1.000e+00
Ndufs8	579	579	1.631e-01	3.853e+00	3.679e-01	-2.310e-04	-1.380e+00	1.000e+00	1.000e+00
Mgat4a	574	574	8.578e-02	9.537e-01	1.707e+00	-1.142e-02	3.440e+00	8.713e-03	1.055e-01
Cep78	634	634	1.367e-01	2.145e+00	1.469e+00	-4.089e-03	5.710e-01	2.852e-01	6.865e-01
Plch1	445	445	1.859e-02	-2.297e+00	1.146e+00	3.513e-03	9.040e-01	1.787e-01	5.412e-01
