GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Qk	923	923	1.817e-01	1.385e+00	1.201e+00	1.764e-04	4.911e-01	3.217e-01	7.850e-01
Abhd11	502	502	1.357e-01	3.755e+00	4.750e-01	1.100e-03	-2.206e+00	1.000e+00	1.000e+00
Mbnl2	936	936	1.409e-01	1.988e-01	1.227e+00	5.186e-03	1.605e+00	7.322e-02	3.304e-01
Sema6a	1090	1090	1.898e-01	1.646e+00	1.316e+00	-5.659e-03	9.813e-01	1.612e-01	5.311e-01
Bag6	3160	3160	5.936e-01	4.002e+00	4.681e-01	-7.098e-03	2.018e+00	4.454e-02	2.601e-01
Pianp	932	932	2.355e-01	3.597e+00	4.758e-01	3.182e-03	-1.143e+00	1.000e+00	1.000e+00
Ranbp9	501	501	8.317e-02	7.443e-01	1.302e+00	-1.126e-02	4.374e+00	3.099e-03	5.067e-02
Pds5b	1162	1162	2.241e-01	1.148e+00	9.588e-01	6.152e-03	1.919e+00	5.009e-02	2.776e-01
Samd8	2081	2081	4.230e-01	3.180e+00	1.105e+00	7.863e-04	2.964e-01	4.413e-01	8.854e-01
Lcmt1	3182	3182	5.594e-01	3.152e+00	7.017e-01	-2.945e-03	8.092e-01	2.033e-01	5.884e-01
Arl3	3112	3112	5.375e-01	2.456e+00	7.991e-01	-2.351e-03	1.059e+00	1.455e-01	5.062e-01
Msantd4	639	639	1.585e-01	3.918e+00	4.677e-01	-8.828e-03	-2.410e-01	1.000e+00	1.000e+00
Gnb1	20473	20473	9.912e-01	4.445e+00	8.022e-01	1.599e-03	-2.449e-01	1.000e+00	1.000e+00
Cope	706	706	1.807e-01	3.306e+00	5.776e-01	1.912e-03	-3.456e-01	1.000e+00	1.000e+00
Tes	1772	1772	3.451e-01	3.983e+00	6.935e-01	-3.498e-03	3.554e-01	3.992e-01	8.287e-01
Prkaca	2756	2756	5.466e-01	3.546e+00	5.150e-01	2.211e-03	-1.283e+00	1.000e+00	1.000e+00
Vps25	1099	1099	2.681e-01	3.665e+00	5.601e-01	9.737e-04	-7.865e-01	1.000e+00	1.000e+00
Ncor1	2829	2829	4.097e-01	1.278e+00	9.633e-01	-6.843e-03	9.455e+00	1.371e-05	5.604e-04
Tex2	684	684	1.337e-01	1.244e+00	1.181e+00	-1.361e-03	-1.792e+00	1.000e+00	1.000e+00
Ociad1	4682	4682	7.332e-01	3.918e+00	6.213e-01	-3.164e-04	-3.278e-02	1.000e+00	1.000e+00
Mtfr1l	2166	2166	4.566e-01	3.766e+00	5.911e-01	2.605e-03	-6.579e-01	1.000e+00	1.000e+00
Ccdc171	679	679	8.806e-03	-3.048e+00	8.894e-01	-3.225e-03	3.838e-01	3.810e-01	8.277e-01
Acsl1	550	550	1.067e-01	1.930e+00	1.867e+00	-2.042e-03	3.906e-01	3.768e-01	8.277e-01
BC030336	578	578	1.350e-01	2.502e+00	8.702e-01	-1.228e-02	4.477e+00	2.767e-03	4.763e-02
Prkrip1	1597	1597	3.496e-01	2.986e+00	6.928e-01	-1.518e-03	-4.791e-02	1.000e+00	1.000e+00
2700049A03Rik	383	383	3.392e-02	-9.562e-01	1.946e+00	-9.652e-03	1.797e+00	5.798e-02	3.021e-01
Gm21092	1105	1105	1.011e-02	-3.442e+00	5.495e-01	2.472e-03	-1.720e-01	1.000e+00	1.000e+00
Zfp711	888	888	1.977e-01	2.207e+00	9.207e-01	6.258e-05	-9.622e-01	1.000e+00	1.000e+00
Stk38	1178	1178	2.489e-01	1.548e+00	9.496e-01	8.545e-03	3.839e+00	5.589e-03	7.947e-02
Csrp2bp	401	401	8.871e-02	1.626e+00	1.234e+00	3.336e-03	5.124e-01	3.114e-01	7.656e-01
Pex13	419	419	1.018e-01	2.538e+00	9.474e-01	-5.794e-04	-2.099e-01	1.000e+00	1.000e+00
Gm1673	5804	5804	8.059e-01	4.719e+00	3.391e-01	4.420e-03	-1.977e+00	1.000e+00	1.000e+00
Ift172	391	391	8.871e-02	1.871e+00	1.455e+00	1.494e-03	4.379e-01	3.494e-01	8.148e-01
Prmt7	893	893	2.123e-01	2.395e+00	8.252e-01	5.477e-03	1.087e+00	1.403e-01	4.962e-01
Gga1	1280	1280	3.154e-01	3.078e+00	7.315e-01	1.485e-02	7.215e-01	2.296e-01	6.530e-01
Chfr	1222	1222	2.802e-01	2.575e+00	8.287e-01	5.637e-03	6.614e-01	2.501e-01	6.703e-01
Chd8	1344	1344	3.076e-01	3.005e+00	6.999e-01	6.010e-04	-8.432e-01	1.000e+00	1.000e+00
Eif2s3y	649	649	1.367e-01	2.907e+00	1.312e+00	1.298e-03	3.619e-01	3.949e-01	8.277e-01
Gls	3846	3846	6.331e-01	3.034e+00	6.152e-01	-2.104e-03	-5.315e-01	1.000e+00	1.000e+00
Tcea1	380	380	9.850e-02	2.313e+00	9.512e-01	2.211e-03	-4.894e-01	1.000e+00	1.000e+00
Arl4c	2352	2352	4.658e-01	3.066e+00	5.737e-01	7.485e-03	1.719e+00	6.368e-02	3.108e-01
Med13	2748	2748	4.556e-01	2.162e+00	7.928e-01	-2.625e-03	-3.524e-01	1.000e+00	1.000e+00
Arf1	6156	6156	8.040e-01	4.459e+00	3.897e-01	1.210e-03	-1.204e+00	1.000e+00	1.000e+00
Socs5	547	547	1.305e-01	2.147e+00	1.106e+00	7.343e-03	1.209e+00	1.199e-01	4.556e-01
Nkrf	526	526	1.295e-01	2.516e+00	7.190e-01	5.672e-03	9.613e-04	9.650e-01	1.000e+00
Arap2	986	986	1.572e-01	7.288e-01	1.589e+00	2.891e-03	1.785e-01	5.502e-01	1.000e+00
Scarb1	563	563	1.099e-01	1.233e+00	1.291e+00	-2.369e-03	1.013e-01	6.526e-01	1.000e+00
Calr	8162	8162	8.708e-01	4.864e+00	3.212e-01	3.762e-03	-2.473e+00	1.000e+00	1.000e+00
Scp2-ps2	434	434	1.106e-01	3.307e+00	5.560e-01	-3.937e-03	-2.287e-01	1.000e+00	1.000e+00
Rtn3	17922	17922	9.821e-01	3.824e+00	9.091e-01	-3.049e-03	3.571e+00	7.532e-03	9.162e-02
B3gat2	481	481	4.990e-02	-6.823e-01	1.566e+00	-1.396e-03	-7.193e-02	1.000e+00	1.000e+00
Dek	1195	1195	2.694e-01	3.147e+00	7.111e-01	-1.138e-03	-1.223e-01	1.000e+00	1.000e+00
Wnt7b	1871	1871	3.258e-01	3.420e+00	5.851e-01	-4.963e-03	1.805e-01	5.479e-01	1.000e+00
Aldh3a2	431	431	9.328e-02	2.417e+00	1.692e+00	-1.505e-02	2.450e+00	2.687e-02	2.092e-01
Pfas	571	571	1.373e-01	2.692e+00	9.294e-01	-2.685e-03	-2.088e-01	1.000e+00	1.000e+00
App	10379	10379	8.643e-01	3.191e+00	8.793e-01	-7.334e-03	1.371e+01	1.638e-07	1.071e-05
Mfsd14a	1076	1076	2.479e-01	3.427e+00	8.165e-01	2.017e-04	-1.498e-01	1.000e+00	1.000e+00
Sec61a1	681	681	1.432e-01	1.483e+00	1.286e+00	-4.556e-03	1.086e+00	1.406e-01	4.962e-01
Cacul1	1347	1347	2.769e-01	2.148e+00	9.583e-01	-7.415e-04	5.913e-01	2.768e-01	7.184e-01
Tbc1d13	922	922	2.312e-01	3.374e+00	9.995e-01	-7.801e-03	1.951e+00	4.824e-02	2.720e-01
Mid1	629	629	2.414e-02	-2.327e+00	8.089e-01	4.542e-03	-2.434e-01	1.000e+00	1.000e+00
Rap1gds1	2280	2280	4.152e-01	1.693e+00	8.139e-01	3.439e-03	1.316e+00	1.047e-01	4.126e-01
Meis2	3822	3822	4.618e-01	2.107e+00	9.976e-01	-7.383e-03	8.293e+00	4.647e-05	1.381e-03
Mettl9	1655	1655	3.656e-01	3.493e+00	6.381e-01	-1.139e-03	-1.483e-01	1.000e+00	1.000e+00
Wdfy3	1886	1886	3.379e-01	1.228e+00	9.638e-01	3.226e-03	4.755e-01	3.295e-01	7.922e-01
Pask	476	476	1.295e-01	2.411e+00	7.743e-01	2.463e-03	-5.841e-01	1.000e+00	1.000e+00
Ivns1abp	7637	7637	8.500e-01	4.186e+00	6.023e-01	3.096e-03	6.766e-01	2.447e-01	6.703e-01
Arhgap44	677	677	1.148e-01	5.194e-01	1.082e+00	-1.095e-03	-9.087e-01	1.000e+00	1.000e+00
Ptges2	971	971	2.528e-01	4.050e+00	4.006e-01	-3.890e-03	-3.158e+00	1.000e+00	1.000e+00
Pdzd2	768	768	2.544e-02	-2.296e+00	9.237e-01	-1.921e-03	-7.013e-01	1.000e+00	1.000e+00
Ppp3r1	4008	4008	6.670e-01	3.391e+00	4.939e-01	2.185e-03	-7.667e-01	1.000e+00	1.000e+00
Hmg20a	5269	5269	3.614e-01	-2.517e-01	8.212e-01	-1.739e-02	1.156e+02	3.408e-52	1.115e-49
Sash1	357	357	2.250e-02	-2.142e+00	1.391e+00	1.023e-02	2.232e+00	3.460e-02	2.263e-01
St3gal5	1361	1361	2.838e-01	2.260e+00	9.608e-01	1.035e-02	3.423e+00	8.887e-03	1.038e-01
Sh3bp5l	377	377	1.005e-01	2.708e+00	7.053e-01	-1.122e-03	-1.626e-01	1.000e+00	1.000e+00
Prpsap2	662	662	1.513e-01	2.231e+00	9.753e-01	-4.771e-03	9.536e-01	1.673e-01	5.311e-01
Lsm1	1355	1355	2.955e-01	2.432e+00	8.611e-01	-2.229e-03	2.139e-01	5.130e-01	1.000e+00
Tcf12	1140	1140	8.871e-02	-1.023e+00	1.309e+00	-6.057e-03	3.881e+00	5.333e-03	7.927e-02
Arf3	6816	6816	8.346e-01	3.922e+00	8.539e-01	2.932e-04	3.178e-01	4.253e-01	8.638e-01
Inpp5f	7728	7728	8.389e-01	3.744e+00	5.238e-01	-4.200e-04	-1.421e+00	1.000e+00	1.000e+00
Rps19	4763	4763	7.397e-01	4.553e+00	3.475e-01	1.955e-03	-1.469e+00	1.000e+00	1.000e+00
Sh3pxd2a	664	664	7.763e-02	-2.574e-01	1.519e+00	-6.954e-03	3.014e+00	1.407e-02	1.394e-01
Vps4a	1778	1778	3.813e-01	2.970e+00	9.365e-01	-5.923e-03	1.653e+00	6.900e-02	3.280e-01
Tatdn2	766	766	1.999e-01	3.070e+00	5.977e-01	4.589e-03	-5.667e-01	1.000e+00	1.000e+00
Sfxn3	3725	3725	6.582e-01	4.335e+00	3.685e-01	2.202e-03	-1.398e+00	1.000e+00	1.000e+00
Gpc5	3038	3038	4.273e-02	-2.912e+00	5.999e-01	-5.415e-03	9.723e-01	1.632e-01	5.311e-01
Chrm2	332	332	1.566e-02	-1.974e+00	1.261e+00	-3.374e-03	4.343e-01	3.513e-01	8.148e-01
2610037D02Rik	686	686	1.761e-02	-2.368e+00	9.021e-01	-7.958e-03	2.164e+00	3.748e-02	2.342e-01
Fam134a	2017	2017	4.302e-01	3.778e+00	4.455e-01	1.841e-03	-8.776e-01	1.000e+00	1.000e+00
Rnf24	436	436	2.250e-02	-1.768e+00	1.167e+00	-5.513e-03	1.312e-01	6.085e-01	1.000e+00
Hectd1	1076	1076	2.149e-01	1.771e+00	1.407e+00	-5.800e-03	2.506e+00	2.518e-02	2.060e-01
Rem2	517	517	1.334e-01	3.391e+00	4.433e-01	2.506e-03	-2.308e+00	1.000e+00	1.000e+00
Pcx	496	496	7.502e-02	2.170e-02	1.404e+00	3.384e-03	-2.383e-02	1.000e+00	1.000e+00
Sfxn1	2723	2723	5.039e-01	3.767e+00	7.878e-01	-3.406e-03	4.843e-01	3.250e-01	7.873e-01
Fam53a	545	545	1.265e-01	2.644e+00	1.107e+00	-1.021e-02	1.833e+00	5.555e-02	2.978e-01
Nop14	1681	1681	3.575e-01	2.705e+00	6.370e-01	9.786e-03	3.567e+00	7.565e-03	9.162e-02
Shank2	1916	1916	3.059e-01	8.409e-01	8.601e-01	-2.077e-03	1.037e+00	1.499e-01	5.104e-01
Rab11fip2	883	883	2.091e-01	2.855e+00	8.164e-01	-8.237e-03	1.373e+00	9.751e-02	4.036e-01
Arpc4	3524	3524	6.370e-01	4.211e+00	3.975e-01	-3.228e-03	-6.530e-01	1.000e+00	1.000e+00
Pigu	645	645	1.164e-01	5.596e-01	1.180e+00	4.269e-03	9.355e-01	1.713e-01	5.311e-01
Elavl4	2186	2186	3.842e-01	2.491e+00	8.934e-01	-6.509e-03	3.769e+00	6.044e-03	8.235e-02
Dscam	1416	1416	1.053e-01	-1.256e+00	1.243e+00	-6.054e-04	-1.226e+00	1.000e+00	1.000e+00
Ahdc1	754	754	1.539e-01	1.591e+00	1.529e+00	-4.791e-03	1.085e+00	1.407e-01	4.962e-01
Nrsn1	949	949	1.533e-01	3.388e+00	1.520e+00	-2.131e-03	1.091e+00	1.396e-01	4.962e-01
Fam174b	1251	1251	2.867e-01	2.894e+00	8.251e-01	4.855e-04	-1.128e+00	1.000e+00	1.000e+00
Gcat	423	423	1.044e-01	2.681e+00	1.334e+00	5.341e-03	-1.821e-01	1.000e+00	1.000e+00
Ube2k	3999	3999	6.530e-01	2.983e+00	7.855e-01	-1.721e-03	-2.509e-02	1.000e+00	1.000e+00
Msh3	499	499	6.784e-02	-5.079e-02	1.657e+00	-2.624e-03	9.727e-01	1.631e-01	5.311e-01
3110082I17Rik	457	457	7.208e-02	7.578e-01	1.747e+00	-1.022e-02	1.386e+00	9.595e-02	4.022e-01
Smc6	1521	1521	3.098e-01	2.601e+00	1.091e+00	-4.098e-03	9.103e-01	1.772e-01	5.338e-01
Arrdc4	657	657	1.497e-01	3.181e+00	6.229e-01	-4.466e-03	2.290e-01	4.985e-01	9.820e-01
Tppp	736	736	1.125e-01	6.732e-01	1.349e+00	-8.071e-03	2.257e+00	3.361e-02	2.263e-01
Scn8a	1582	1582	2.818e-01	1.114e+00	8.815e-01	4.090e-04	4.296e-01	3.540e-01	8.152e-01
Aldh18a1	9092	9092	2.619e-01	-2.061e+00	9.000e-01	-5.996e-03	1.242e+01	6.200e-07	3.379e-05
Dpm2	1010	1010	2.586e-01	3.501e+00	4.375e-01	7.699e-03	1.815e-01	5.468e-01	1.000e+00
A230057D06Rik	1521	1521	1.076e-01	-1.393e+00	1.616e+00	-2.515e-03	1.614e-01	5.700e-01	1.000e+00
Cntn1	3139	3139	4.419e-01	1.340e+00	1.174e+00	-1.230e-03	1.558e+00	7.755e-02	3.381e-01
Cenpv	1490	1490	2.997e-01	1.889e+00	1.198e+00	7.642e-03	2.940e+00	1.531e-02	1.472e-01
Car11	373	373	9.687e-02	3.091e+00	6.882e-01	-1.958e-03	-8.580e-02	1.000e+00	1.000e+00
Ackr1	1771	1771	3.637e-01	3.983e+00	5.087e-01	1.987e-04	-5.795e-01	1.000e+00	1.000e+00
Sybu	4174	4174	5.616e-01	1.488e+00	9.765e-01	2.200e-03	2.266e+00	3.327e-02	2.263e-01
Senp7	904	904	9.915e-02	-5.392e-01	1.671e+00	-2.355e-04	1.887e-01	5.390e-01	1.000e+00
Cngb3	380	380	3.262e-03	-3.001e+00	5.102e-01	-4.797e-03	-2.957e-01	1.000e+00	1.000e+00
Tmem106b	950	950	2.348e-01	3.777e+00	5.386e-01	-3.422e-03	-3.553e-01	1.000e+00	1.000e+00
Rrn3	1160	1160	2.746e-01	2.521e+00	6.945e-01	-1.212e-03	-9.414e-01	1.000e+00	1.000e+00
Rcn1	702	702	1.686e-01	3.146e+00	6.282e-01	2.566e-04	-2.942e-01	1.000e+00	1.000e+00
Cdk2ap1	1233	1233	2.603e-01	2.209e+00	1.139e+00	1.069e-02	5.538e+00	8.748e-04	1.788e-02
Fuca1	605	605	1.481e-01	2.712e+00	1.271e+00	1.666e-03	-7.038e-01	1.000e+00	1.000e+00
Coq2	785	785	1.898e-01	2.975e+00	7.492e-01	-1.295e-03	-2.838e-02	1.000e+00	1.000e+00
Zfp68	1013	1013	2.414e-01	3.496e+00	7.488e-01	-2.644e-03	4.555e-01	3.399e-01	8.112e-01
Alkbh3	362	362	8.350e-02	2.147e+00	1.497e+00	-4.127e-03	9.320e-01	1.722e-01	5.311e-01
Gstz1	725	725	1.719e-01	2.066e+00	1.301e+00	7.808e-03	1.970e+00	4.715e-02	2.705e-01
Arih2	1312	1312	2.727e-01	2.200e+00	1.048e+00	7.102e-03	2.429e+00	2.752e-02	2.093e-01
Usp24	5009	5009	1.477e-01	-1.357e+00	2.364e+00	-1.743e-02	1.680e+01	6.743e-09	5.512e-07
Dpf3	641	641	9.132e-03	-2.943e+00	7.122e-01	-5.561e-03	-6.400e-02	1.000e+00	1.000e+00
Tmem38a	403	403	9.883e-02	2.891e+00	1.408e+00	-8.647e-03	1.425e+00	9.133e-02	3.879e-01
Slc10a7	474	474	1.990e-02	-2.140e+00	1.052e+00	6.383e-04	4.509e-01	3.423e-01	8.112e-01
Adcy8	785	785	9.328e-02	1.060e-02	1.485e+00	-7.869e-03	2.843e+00	1.710e-02	1.562e-01
Myo5b	740	740	7.371e-02	-5.541e-01	1.287e+00	-8.461e-03	3.292e+00	1.029e-02	1.138e-01
Dynll2	12367	12367	9.579e-01	5.095e+00	3.421e-01	6.550e-03	-2.757e-01	1.000e+00	1.000e+00
Dctpp1	524	524	1.412e-01	3.214e+00	5.080e-01	-7.957e-04	-5.264e-01	1.000e+00	1.000e+00
Itsn1	3120	3120	5.179e-01	1.767e+00	8.910e-01	-1.209e-03	-6.449e-01	1.000e+00	1.000e+00
Ubqln4	1196	1196	2.909e-01	2.875e+00	5.719e-01	3.304e-03	-4.927e-01	1.000e+00	1.000e+00
Dynlt1a	3705	3705	6.435e-01	4.551e+00	3.458e-01	4.960e-03	-2.315e+00	1.000e+00	1.000e+00
Sorbs1	370	370	8.154e-03	-2.800e+00	1.372e+00	-1.612e-02	-2.699e-01	1.000e+00	1.000e+00
Cap1	1558	1558	3.281e-01	2.484e+00	9.428e-01	-1.625e-03	-5.206e-02	1.000e+00	1.000e+00
Pcgf6	528	528	1.089e-01	1.866e+00	1.361e+00	-5.796e-03	1.268e-01	6.146e-01	1.000e+00
Ctnnbip1	1709	1709	3.686e-01	2.887e+00	9.229e-01	1.110e-03	3.875e-01	3.787e-01	8.277e-01
Slc2a13	930	930	5.708e-02	-1.735e+00	1.398e+00	1.975e-03	1.711e-01	5.585e-01	1.000e+00
Extl2	488	488	1.190e-01	2.713e+00	8.516e-01	-9.469e-03	1.575e+00	7.597e-02	3.357e-01
Exd2	522	522	1.021e-01	1.315e+00	1.786e+00	1.824e-03	1.167e-01	6.290e-01	1.000e+00
Senp6	2481	2481	4.436e-01	2.829e+00	8.989e-01	-1.662e-03	2.541e-01	4.759e-01	9.432e-01
Josd2	356	356	8.741e-02	2.009e+00	1.154e+00	3.840e-03	-3.083e-01	1.000e+00	1.000e+00
Aff2	1379	1379	4.077e-02	-2.474e+00	1.000e+00	2.278e-05	-1.573e+00	1.000e+00	1.000e+00
Trak1	2690	2690	4.693e-01	1.703e+00	7.113e-01	1.756e-03	-4.691e-01	1.000e+00	1.000e+00
Ldlrad3	674	674	8.023e-02	-2.094e-01	1.597e+00	-4.932e-03	-1.385e-01	1.000e+00	1.000e+00
Nfyc	796	796	1.667e-01	1.735e+00	1.228e+00	-3.453e-03	3.746e-01	3.867e-01	8.277e-01
Nbeal1	705	705	9.459e-02	-1.218e-01	1.178e+00	3.224e-05	5.716e-01	2.850e-01	7.281e-01
Zfp24	633	633	1.536e-01	3.048e+00	6.031e-01	1.910e-03	-1.778e-01	1.000e+00	1.000e+00
Ahi1	4075	4075	5.972e-01	2.081e+00	8.496e-01	-4.045e-03	5.622e+00	7.987e-04	1.741e-02
Cyfip1	870	870	1.566e-01	1.223e+00	1.410e+00	-7.913e-03	1.639e+00	7.022e-02	3.280e-01
Pdzd8	854	854	1.853e-01	2.272e+00	8.101e-01	-5.235e-03	5.932e-01	2.761e-01	7.184e-01
Znrf2	3048	3048	5.267e-01	3.094e+00	7.246e-01	-1.747e-03	-5.953e-01	1.000e+00	1.000e+00
Mdp1	1729	1729	3.699e-01	4.207e+00	3.562e-01	-2.822e-03	-4.845e+00	1.000e+00	1.000e+00
Zfp608	423	423	6.719e-02	8.983e-01	1.555e+00	-1.127e-02	3.998e+00	4.690e-03	7.303e-02
Sar1b	1208	1208	2.864e-01	3.189e+00	6.234e-01	-6.512e-03	1.347e+00	1.008e-01	4.068e-01
Capzb	5030	5030	7.394e-01	3.420e+00	5.504e-01	-2.350e-03	-7.653e-01	1.000e+00	1.000e+00
Epb41l1	2742	2742	4.791e-01	1.889e+00	6.930e-01	-1.355e-03	-1.213e+00	1.000e+00	1.000e+00
Npc2	4172	4172	6.451e-01	4.031e+00	4.664e-01	1.060e-03	-9.978e-01	1.000e+00	1.000e+00
Sacs	675	675	1.438e-01	1.914e+00	1.384e+00	1.473e-03	-7.642e-01	1.000e+00	1.000e+00
Mybbp1a	1277	1277	2.942e-01	3.833e+00	4.723e-01	2.719e-03	-5.204e-01	1.000e+00	1.000e+00
Shank1	4587	4587	6.696e-01	3.005e+00	6.256e-01	4.696e-04	-1.439e+00	1.000e+00	1.000e+00
Numa1	617	617	1.207e-01	9.721e-01	1.240e+00	2.832e-03	-3.111e-01	1.000e+00	1.000e+00
Gab2	952	952	1.504e-01	3.576e-01	1.415e+00	2.838e-03	4.089e-01	3.658e-01	8.277e-01
Pcyt1b	2024	2024	3.881e-01	2.735e+00	8.309e-01	-5.233e-03	1.770e+00	5.992e-02	3.021e-01
Chpf	1416	1416	3.369e-01	3.737e+00	3.823e-01	9.130e-03	-2.701e+00	1.000e+00	1.000e+00
Ubfd1	1351	1351	2.978e-01	3.025e+00	8.532e-01	-4.672e-03	1.420e-01	5.941e-01	1.000e+00
Dgat1	1070	1070	2.296e-01	2.064e+00	1.419e+00	-2.577e-04	-7.544e-01	1.000e+00	1.000e+00
Ccdc136	674	674	1.406e-01	1.647e+00	1.483e+00	8.815e-03	7.927e-01	2.080e-01	5.966e-01
Mmab	452	452	1.174e-01	2.900e+00	7.290e-01	8.462e-04	-4.945e-01	1.000e+00	1.000e+00
Grasp	815	815	1.826e-01	3.201e+00	6.356e-01	4.461e-03	3.646e-01	3.932e-01	8.277e-01
L1cam	6591	6591	8.314e-01	3.948e+00	4.624e-01	2.071e-03	-8.339e-01	1.000e+00	1.000e+00
Ttll1	942	942	2.192e-01	2.182e+00	7.582e-01	2.943e-03	-6.528e-01	1.000e+00	1.000e+00
Peli1	2671	2671	4.932e-01	2.998e+00	7.615e-01	-2.286e-03	3.536e-01	4.004e-01	8.287e-01
Hsbp1	6176	6176	8.288e-01	4.943e+00	3.342e-01	-2.263e-03	-2.074e+00	1.000e+00	1.000e+00
0610007P14Rik	3232	3232	5.316e-01	2.606e+00	1.139e+00	-2.426e-03	1.039e+00	1.494e-01	5.104e-01
Luzp2	1793	1793	1.908e-01	-1.961e-01	1.561e+00	4.466e-04	-8.021e-01	1.000e+00	1.000e+00
Fcho2	560	560	7.534e-02	1.704e-01	1.729e+00	-1.087e-02	2.154e+00	3.795e-02	2.342e-01
Alkbh8	768	768	1.657e-01	1.979e+00	1.316e+00	-1.782e-03	1.531e-01	5.800e-01	1.000e+00
Slc38a6	427	427	5.088e-02	-5.222e-01	1.731e+00	1.994e-03	1.083e+00	1.411e-01	4.962e-01
Ccnh	1090	1090	2.221e-01	1.991e+00	1.334e+00	-2.940e-03	-9.155e-04	1.000e+00	1.000e+00
Immt	1866	1866	3.986e-01	3.229e+00	7.609e-01	-6.241e-03	2.069e+00	4.192e-02	2.492e-01
Rbm8a	1906	1906	4.123e-01	4.261e+00	3.642e-01	3.253e-03	-3.536e+00	1.000e+00	1.000e+00
Tsfm	431	431	1.021e-01	2.749e+00	1.242e+00	-6.317e-03	6.777e-01	2.444e-01	6.703e-01
G3bp2	4264	4264	6.826e-01	4.058e+00	4.256e-01	1.084e-03	-1.055e+00	1.000e+00	1.000e+00
Gpx4	495	495	1.422e-01	3.316e+00	4.572e-01	4.508e-03	-2.237e+00	1.000e+00	1.000e+00
Ehd1	479	479	1.363e-01	3.370e+00	5.587e-01	-7.814e-03	1.617e+00	7.213e-02	3.304e-01
Rbck1	1260	1260	2.893e-01	2.800e+00	6.484e-01	7.068e-03	5.851e-01	2.794e-01	7.193e-01
Pam	7940	7940	4.459e-01	-1.066e+00	7.907e-01	-1.127e-03	9.404e-01	1.702e-01	5.311e-01
Trp63	382	382	3.588e-03	-3.271e+00	4.931e-01	5.177e-03	-2.844e-01	1.000e+00	1.000e+00
Cnpy2	1157	1157	2.834e-01	3.873e+00	3.854e-01	4.494e-03	-3.406e+00	1.000e+00	1.000e+00
Meaf6	2407	2407	4.762e-01	2.697e+00	8.342e-01	1.180e-02	4.932e+00	1.686e-03	3.243e-02
Tcf4	11697	11697	9.002e-01	2.347e+00	5.977e-01	-5.042e-03	1.148e+01	1.654e-06	7.727e-05
Foxo6	525	525	1.285e-01	2.851e+00	8.178e-01	-4.400e-03	6.648e-02	7.154e-01	1.000e+00
Lemd1	426	426	3.523e-02	-1.437e+00	1.751e+00	3.243e-03	3.636e-01	3.938e-01	8.277e-01
Bicd2	1280	1280	2.926e-01	2.425e+00	7.199e-01	3.698e-03	5.134e-01	3.109e-01	7.656e-01
Nup98	1397	1397	1.419e-01	-1.321e+00	1.460e+00	1.627e-02	2.424e+01	3.342e-12	3.643e-10
Anxa6	386	386	7.339e-02	5.964e-01	2.173e+00	1.553e-02	8.866e-01	1.830e-01	5.439e-01
Nras	2449	2449	4.804e-01	4.011e+00	4.283e-01	1.282e-02	-4.518e-01	1.000e+00	1.000e+00
Dido1	699	699	1.337e-01	1.343e+00	1.786e+00	-1.756e-03	-3.681e-01	1.000e+00	1.000e+00
Lamtor4	893	893	2.322e-01	3.556e+00	4.716e-01	3.105e-03	-7.823e-01	1.000e+00	1.000e+00
Wwox	1707	1707	2.022e-02	-3.139e+00	5.228e-01	-1.955e-03	-5.490e-01	1.000e+00	1.000e+00
Zswim6	2808	2808	4.243e-01	1.087e+00	1.082e+00	5.636e-03	8.400e+00	4.152e-05	1.381e-03
Edf1	2921	2921	5.414e-01	3.078e+00	1.010e+00	1.672e-03	8.762e-01	1.856e-01	5.467e-01
Alg2	2660	2660	5.277e-01	4.456e+00	3.535e-01	-3.170e-03	-2.989e+00	1.000e+00	1.000e+00
Psmc6	1748	1748	3.770e-01	3.592e+00	5.320e-01	-4.334e-04	-9.599e-01	1.000e+00	1.000e+00
Lsm4	2698	2698	5.189e-01	3.895e+00	4.165e-01	8.302e-03	7.086e-01	2.339e-01	6.593e-01
Pcna	2098	2098	4.247e-01	4.055e+00	3.846e-01	9.592e-03	-2.216e+00	1.000e+00	1.000e+00
4930525G20Rik	513	513	1.631e-03	-3.249e+00	4.318e-01	-5.288e-03	-2.564e+00	1.000e+00	1.000e+00
Unc13c	817	817	5.871e-03	-3.096e+00	4.720e-01	-1.104e-02	9.666e-01	1.644e-01	5.311e-01
Pmepa1	1569	1569	3.174e-01	2.183e+00	7.514e-01	4.649e-03	1.453e+00	8.820e-02	3.795e-01
Zfp523	1150	1150	2.648e-01	2.772e+00	8.925e-01	-2.972e-03	6.722e-01	2.462e-01	6.703e-01
Rgs10	527	527	1.122e-01	2.275e+00	1.151e+00	-5.488e-03	1.024e-01	6.509e-01	1.000e+00
Smn1	1186	1186	2.834e-01	3.096e+00	5.311e-01	3.946e-03	3.920e-01	3.759e-01	8.277e-01
Fam155a	1774	1774	1.553e-01	-4.981e-01	1.132e+00	-7.969e-03	7.737e+00	8.365e-05	2.280e-03
Neo1	4369	4369	6.373e-01	2.585e+00	7.974e-01	-1.428e-03	5.216e-01	3.071e-01	7.656e-01
Rfc2	1453	1453	3.206e-01	3.072e+00	6.432e-01	1.976e-03	-7.299e-01	1.000e+00	1.000e+00
